CaseType,weighted_sum_trans_equity,female_male_ratio,gross_assets,liability_assets_ratio,oper_inc_net_inc_ratio,main_busi_net_inc_ratio,profit_net_inc_ratio,regis_capital,paidin_capital,certif,modify_times,tax_abnormal,register_type,economic_type,pnl_dummy,fair_value_change,oper_total_profit_ratio,total_profit,asset_re
3,,0.693181818,,,6.939196376,7.05016729,,0,0,1,35,0,,,,,,,
3,,,,,,,,0,0,,1,0,8,211,-1,-0.302624168,1.635257225,0.437869129,-0.575772657
0,,0.666666667,0.060240814,1.302814836,-0.058012738,0.135313022,-0.20298194,5,0,,,0,,,,,,,
3,,,,,,,,3,3,,3,0,,,,,,,
2,,,,,,,,5000,5000,,,0,19,222,-1,1.114996391,-0.253746463,-1.37586216,-0.347430375
2,,,,,,,,5000,5000,,,0,19,222,-1,1.114996391,-0.253746463,-1.37586216,-0.347430375
3,,0.833333333,1000.254891,0.003608158,-0.401435456,0.074167263,1.184059862,1000,1000,,2,1,8,195,0.2,0.688593112,0.950184511,-8546.850021,275082.4845
2,,,,,,,,,,,,0,,,,,,,
3,,,,,,,,0,0,,11,0,,,,,,,
3,,2.4,-0.378843988,-3.32728937,-0.912003873,0.927504627,-0.344222914,3080,3080,,57,0,8,211,-1,-0.42839086,-2.52476099,-0.167799492,-0.02173372
3,,0.82010582,,,,,,500,0,,,0,19,211,0,0.920448489,-0.192482908,1.376451843,0.519519238
3,,,,,,,,20,20,,,0,19,206,1,-0.217812935,-4.544791378,-0.297163143,-0.323150336
3,,,,,,,,,0,,,0,8,207,-1,-0.068102895,161.53657,-0.002385665,-1.089608635
3,,,-0.990377911,-0.871544694,0.198875612,-0.652596485,0.271516581,1000,100,,11,1,8,222,0.6,-1.199640633,0.374604377,-71912.3048,2574274.22
3,,0.684640523,,,0.05827222,-1.929777552,,0,0,,12,0,8,211,-0.5,-1.128040739,0.243324395,-118617.0657,0.897622134
3,,,,,,,,100,100,,1,0,,,,,,,
3,,0.702380952,,,,,,0,0,,2,0,19,182,1,0.682693848,0.99888668,-1198384.943,213449.2917
2,,,,,,,,1000,1000,1,10,0,8,76,,,,,
3,,1.416666667,994.0289732,0.006218561,0.508257242,0.183808406,0.287614284,1000,1000,,9,0,8,222,0.333333333,0.864208935,0.608603711,-6578.85029,7623997.971
3,,0.542065391,,,-3.212677093,-3.212527877,,0,0,1,12,0,9,168,1,-0.139061351,0.951492056,0.379243606,-0.130502873
3,,0.716666667,2.147402645,0.218429384,-1.969095201,-2.97944334,6.616784311,500,0,,,0,19,211,0,-0.804075056,-0.072038549,-17257.02992,1.462306751
3,296.4840762,,,,,,,2000,0,,8,0,8,218,0,0.704078681,0.645022515,-119726.0573,50.24255037
3,,2.666666667,,,,,,50,0,,3,0,,,,,,,
3,,,,,,,,3011,,,5,0,,,,,,,
3,,1.944444444,,,,,,0,0,1,10,0,,,,,,,
3,,0.448051948,3019.232165,1.000177957,0.896273157,-1.241529846,-0.518718865,5000,5000,,31,0,8,195,-1,-0.010854882,2.083173586,0.063801055,-0.69363538
3,,,,,,,,100,0,,,0,19,134,-1,-1.458512011,-0.344002186,-1.16926308,-0.255847574
3,,,,,,,,5600,5600,,,0,,,,,,,
3,,,,,,,,50,,,,0,19,144,1,0.486732099,0.265914979,1.335964127,-0.273324428
3,,,,,,,,100,0,,,0,8,218,0,-0.066833497,1.432546765,-686.4335669,50.61066119
3,,,,,,,,10,0,,,0,,,,,,,
3,,,,,,,,100,100,,,0,8,61,,,,,
3,,,,,,,,0,0,,,0,19,211,-1,-0.180558748,-9.116116684,0.123015634,2000.451764
1,,,,,,,,0,0,,4,0,8,206,-0.333333333,0.536077482,37.40296406,-164499.0382,1.379917937
3,,,,,,,,11000,0,,,0,8,211,1,-0.298325941,-2.167191496,-0.236657044,-0.088991793
3,,,,,,,,200,0,,,0,8,56,-1,,4.858030977,-2592.059721,2000001.256
3,,,,,,,,50,,,,0,,,,,,,
3,,,,,,,,10,,,,0,,,,,,,
3,,,,,,,,5000,0,,7,0,,,,,,,
2,,0.721298701,,,,,,,,1,22,0,9,167,1,-0.404935264,3.494796556,0.287214301,-0.19286741
3,,0.888888889,,,,,,100,100,,1,0,8,214,1,2.263661472,4.473185418,0.245356868,16200000.94
3,,,,,,,,1000,200,,2,1,8,242,-1,-0.446065629,-0.579264781,2.744199325,0.21139049
3,,,,,,,,5000,5000,,1,0,,,,,,,
3,,,,,,,,10,10,,,0,8,61,,,,,
3,,,,,,,,50,,,,0,,,,,,,
0,,,,,,,,100,0,,,0,,,,,,,
2,,0.499684398,,,2.189253417,2.260655071,,0,,2,12,0,10,168,-1,1.49182606,-0.959446536,0.822733485,-1.411640625
3,,,549.9219458,0.082863041,6.231463543,6.021096853,1.538575241,500,500,,,0,8,67,-1,,1.000033406,-46674.37129,100.5820168
3,,,1000.251768,0.000293993,-0.562067387,-0.097212579,-0.088558386,1000,1000,,7,0,8,50,1,,,,9999.408018
3,,,,,,,,0,0,,,0,8,211,0.333333333,0.785887607,0.05661057,-1.89646924,-0.131851514
3,,,,,,,,3000,3000,,71,0,8,221,1,-0.576959538,0.834675395,-1360.533709,14969499.33
3,,,,,,,,10,,,15,0,,,,,,,
3,7.817066806,1.125,,,,,,20,0,,,0,8,211,0,-1.080644581,4.222589077,0.231954185,100000.7348
3,,,,,,,,490,490,,,0,,,,,,,
3,,,,,,,,100,100,,,0,,,,,,,
3,,,,,,,,2000,2000,,5,0,,,,,,,
3,,,,,,,,200,0,,,0,19,210,1,-0.458711849,-0.967506264,-1.26575128,-0.953741468
3,,0.886868687,,,,,,0,0,1,7,0,10,182,-0.333333333,0.384697729,-3.643663635,0.337525753,3333.51138
3,,1.5,,,,,,5000,0,,,0,8,192,0.333333333,0.110601711,0.540135338,-66120.62023,49999999.16
3,,0.5,,,,,,,0,,20,0,,,,,,,
0,,,,,,,,100,0,,,0,,,,,,,
0,,,,,,,,100,0,,,0,,,,,,,
2,,,,,,,,200,200,,12,0,,,,,,,
3,1.139639161,,,,,,,100,100,,9,0,,,,,,,
3,,,,,,,,1000,1000,,4,1,8,192,0,0.07942517,-4.935386345,-454421.1493,2619953.677
3,,,,,,,,500,500,,3,0,6,48,,,,,
3,,,,,,,,500,0,,3,0,,,,,,,
3,,,,,,,,0,,,2,0,,,,,,,
3,5.699139331,0.618181818,182.9684268,0.009565656,-0.103670996,-0.031926643,1.101794779,200,0,,13,0,8,222,0,-0.973111193,0.520458516,0.225344732,983000.4039
3,,,,,,,,200,0,,,0,,,,,,,
3,,,,,,,,10,0,,,0,,,,,,,
3,,,,,,,,0,0,,1,0,8,211,1,1.053078964,-2.616184996,-0.08819191,0.256323306
3,,0.270833333,,,,,,3000,490,1,4,0,8,56,1,,1.000041671,-42262.51016,4857739.479
3,,,,,,,,0,0,,,0,8,128,-1,-0.390928083,-0.907861933,1.629266641,-1.403454174
1,,,,,,,,100,100,,1,0,8,74,-1,,,,100000.061
1,,,,,,,,100,100,,1,0,8,74,-1,,,,100000.061
3,,1,,,,,,1000,0,,,0,,,,,,,
3,,0.476190476,,,,,,0,0,1,15,0,10,168,1,-0.377266773,-9.503193021,-0.716762636,-0.932812129
3,,0.373015873,999.5712798,0.00119948,5.405751141,6.859133513,0.44330085,1000,0,,4,0,8,173,1,0.626142501,-0.858434467,-0.097958098,10000001.33
3,,1.166666667,,,,,,3,3,,1,0,19,67,-1,,1.000022821,-14207.58432,
3,,,,,,,,10,10,,,0,,,,,,,
3,,,,,,,,50,50,,13,0,,,,,,,
3,,0.390196078,,,0.000602926,0.000978666,,,0,,5,0,8,222,-0.5,-0.195430444,1.002131344,-2829598.493,473333.831
0,,0.5,,,,,,30,30,,,0,8,222,0,0.038547731,3.286275698,0.247135974,-0.209738696
3,,,,,,,,3,,,,0,,,,,,,
3,,,,,,,,10,10,,,0,,,,,,,
3,,,,,,,,30,,,,0,,,,,,,
0,,,,,,,,500,500,,,0,8,73,,,,,
3,3.183434048,0.340914213,18704.58642,3.308696661,-0.139436395,0.593568113,0.993255456,7000,0,1,35,0,8,192,0.5,-0.218633039,0.815392429,-4410010.678,179383333
3,,,,,,,,3,3,,,0,,,,,,,
3,,,,,,,,,0,,,0,,,,,,,
3,150.3603692,0.966666667,,,,,,1401,1401,,19,0,8,180,-0.2,0.615990826,0.972645951,-175120.3071,8423999.922
3,,,,,,,,50,50,1,2,0,19,27,,,,,
3,,,1000.210354,0.000674804,-0.198163283,-0.547129672,-0.499645532,1000,1000,,,0,,,,,,,
3,,,,,,,,100,0,,,0,,,,,,,
3,,,,,,,,1000,,,57,0,8,238,1,2.305909704,-2.091731403,-0.213804141,1.635496492
3,,2.6,666.3908664,-0.747486862,-1.500876493,-2.639898969,-3.35398151,1000,1000,,24,1,8,206,0.2,-0.046467971,-0.231919981,0.276604773,7999999.55
3,,0.977777778,4.065235002,-0.068192703,36.66574222,11.83051561,-9.505478829,10,10,,,0,8,211,-0.333333333,-0.063341986,3.552177592,-0.210690087,66667.29102
3,,1.111111111,,,,,,1000,1000,,1,0,8,192,0.2,-0.329681347,0.999910817,-4057.976857,2882150.094
3,,0.652236652,262599.8842,0.065042651,3.184098381,2.881259046,1.052775497,200,200,1,22,0,8,177,0,0.137288609,0.99740554,51081.46311,1654783134
0,,,,,,,,50,50,,2,0,,,,,,,
3,,,,,,,,5500,0,,2,0,,,,,,,
